,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,am_pm
132,ELLO,Ellomay Capital Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
133,CANQF,CanaQuest Medical Corp,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
134,DSGX,Descartes Systems Group Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
135,DAKT,Daktronics Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
136,DXPE,DXP Enterprises Inc,2021-12-01T13:30:00.000Z,BMO,0.45,,,EST,-18000000,EQUITY,PM
137,TNP,Tsakos Energy Navigation Ltd,2021-12-01T13:30:00.000Z,BMO,-1.12,,,EST,-18000000,EQUITY,PM
138,EDU,New Oriental Education & Technology Group Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
139,NETI,Eneti Inc,2021-12-01T13:30:00.000Z,BMO,0.48,,,EST,-18000000,EQUITY,PM
140,ESTC,Elastic NV,2021-12-01T21:00:00.000Z,AMC,-0.16,,,EST,-18000000,EQUITY,PM
141,TAL,TAL Education Group,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
142,TAL,TAL Education Group,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
143,EXCOF,Exco Technologies Ltd,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
144,KEGX,Key Energy Services Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
145,ONE,OneSmart International Education Group Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
146,HLG,Hailiang Education Group Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
147,KFY,Korn Ferry,2021-12-01T13:30:00.000Z,BMO,1.37,,,EST,-18000000,EQUITY,PM
148,SFUN,Fang Holdings Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
149,SFUN,Fang Holdings Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
150,SFUN,Fang Holdings Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
151,TCOM,Trip.com Group Ltd,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
152,GOTU,Gaotu Techedu Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
153,HUIZ,Huize Holding Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
154,JP,Jupai Holdings Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
155,STMH,Stem Holdings Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
156,NM,Navios Maritime Holdings Inc,2021-12-01T13:30:00.000Z,BMO,0.88,,,EST,-18000000,EQUITY,PM
157,RIGMF,Ridgestone Mining Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
158,VLGEA,Village Super Market Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
159,ZUO,Zuora Inc,2021-12-01T21:00:00.000Z,AMC,-0.03,,,EST,-18000000,EQUITY,PM
160,SPLK,Splunk Inc,2021-12-01T21:00:00.000Z,AMC,-0.5,,,EST,-18000000,EQUITY,PM
161,LAIX,LAIX Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
162,MOGU,Mogu Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
163,SNPS,Synopsys Inc,2021-12-01T21:00:00.000Z,AMC,1.78,,,EST,-18000000,EQUITY,PM
164,PRSNF,Personas Social Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
165,RAVN,Raven Industries Inc,2021-12-01T10:59:00.000Z,TNS,0.2,,,EST,-18000000,EQUITY,AM
166,TCYSF,Tecsys Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
167,OBNNF,Osisko Mining Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
168,IWSY,ImageWare Systems Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
